config,cpi,cost,eval_cpi_cost,il1_misses,dl1_misses,l2_misses,il1_miss_rate,dl1_miss_rate,l2_miss_rate
small_direct,2.3922916560000003,768.0,2.4757436905116283,124165.8,2729256.8,2442172.6,0.0008994000000000001,0.0405516,0.5712952
small_assoc,2.371168228,998.4,2.4786979499674415,19479.4,2554204.4,2433494.4,0.00013979999999999998,0.0365914,0.7439342
baseline,2.363829364,2201.6,2.6002123004,1014.4,2480535.0,2429872.8,7.3999999999999995e-06,0.0353816,0.8025338
balanced,2.359934264,3532.8,2.738621390083721,1014.4,2480535.0,2422082.6,7.3999999999999995e-06,0.0353816,0.7896656
l1_heavy,2.390028775,3532.8,2.773545020290698,781.6,1986145.4,1985614.8,7e-06,0.0346825,0.9506605
l2_heavy,2.361186976,5913.6,2.995412780018605,8440.0,2523884.6,2418495.0,6.060000000000001e-05,0.036102800000000004,0.7388975999999999
data_heavy,2.358424392,3827.2,2.7684063066558138,8440.0,2448158.2,2422057.0,6.060000000000001e-05,0.0348518,0.9264469999999999
instr_heavy,2.362527144,3827.2,2.7732222696139535,887.8,2523884.6,2422081.6,6.4e-06,0.036102800000000004,0.7492032
high_assoc,2.358809464,4454.4,2.836056960204651,887.6,2468351.8,2421310.2,6.4e-06,0.0351852,0.8022424000000001
small_line,3.9256252199999997,3532.8,4.555551127395349,1475.4,4233454.2,4172808.8,1.325e-05,0.066943,0.75992275
large_line,1.697756136,3532.8,1.9701867717767443,646.0,1307634.6,1238518.6,4.4e-06,0.0187458,0.753056
